episode,task_id,epsilon,steps,total_reward,mean_td_loss
298,easy_small_clinic,0.2608,20,1.8425,0.016819
299,medium_busy_opd,0.2605,40,-2.5372,0.01777
300,hard_mass_casualty,0.2602,60,-10.8182,0.05414
301,easy_small_clinic,0.2599,20,1.365,0.017448
302,medium_busy_opd,0.2596,40,-1.9551,0.028192
303,hard_mass_casualty,0.2593,60,-17.1985,0.113777
304,easy_small_clinic,0.259,20,1.2975,0.012616
305,medium_busy_opd,0.2587,40,-17.7221,0.348963
306,hard_mass_casualty,0.2584,60,-7.9643,0.086959
307,easy_small_clinic,0.2581,20,0.585,0.024032
308,medium_busy_opd,0.2578,40,-8.1695,0.176247
309,hard_mass_casualty,0.2575,60,-6.2377,0.028824
310,easy_small_clinic,0.2572,20,-0.8745,0.036048
311,medium_busy_opd,0.2569,40,-3.0556,0.120273
312,hard_mass_casualty,0.2566,60,-10.2327,0.076457
313,easy_small_clinic,0.2563,20,1.3425,0.009599
314,medium_busy_opd,0.256,40,0.3055,0.01903
315,hard_mass_casualty,0.2557,60,-8.2297,0.028789
316,easy_small_clinic,0.2554,20,1.7675,0.011028
317,medium_busy_opd,0.2551,40,-5.2689,0.06078
318,hard_mass_casualty,0.2548,60,-8.4527,0.144493
319,easy_small_clinic,0.2545,20,1.6675,0.022798
320,medium_busy_opd,0.2542,40,2.0049,0.009974
321,hard_mass_casualty,0.2539,60,-11.2671,0.051286
322,easy_small_clinic,0.2536,20,1.87,0.013981
323,medium_busy_opd,0.2533,40,-1.6801,0.048582
324,hard_mass_casualty,0.253,60,-8.6282,0.027825
325,easy_small_clinic,0.2527,20,1.195,0.033301
326,medium_busy_opd,0.2524,40,-3.6318,0.023406
327,hard_mass_casualty,0.2521,60,-8.7973,0.082468
328,easy_small_clinic,0.2518,20,1.8575,0.017215
329,medium_busy_opd,0.2515,40,1.2044,0.015893
330,hard_mass_casualty,0.2512,60,-6.1935,0.050668
331,easy_small_clinic,0.2509,20,1.1875,0.016578
332,medium_busy_opd,0.2506,40,-4.5539,0.174189
333,hard_mass_casualty,0.2503,60,0.1415,0.007372
334,easy_small_clinic,0.25,20,1.5775,0.01435
335,medium_busy_opd,0.2497,40,-10.1388,0.157208
336,hard_mass_casualty,0.2494,60,-13.2729,0.090229
337,easy_small_clinic,0.2491,20,0.35,0.015021
338,medium_busy_opd,0.2488,40,-0.3101,0.021582
339,hard_mass_casualty,0.2485,60,-8.0486,0.034841
340,easy_small_clinic,0.2482,20,0.7375,0.033061
341,medium_busy_opd,0.2479,40,2.7712,0.012618
342,hard_mass_casualty,0.2476,60,-3.3723,0.045976
343,easy_small_clinic,0.2473,20,0.645,0.010521
344,medium_busy_opd,0.247,40,-0.9601,0.014698
345,hard_mass_casualty,0.2467,60,-5.2649,0.022478
346,easy_small_clinic,0.2464,20,1.848,0.033774
347,medium_busy_opd,0.2461,40,-5.217,0.092903
348,hard_mass_casualty,0.2458,60,-2.7146,0.025381
349,easy_small_clinic,0.2455,20,-3.8475,0.129024
350,medium_busy_opd,0.2452,40,-14.8555,0.311491
351,hard_mass_casualty,0.2449,60,-12.9668,0.157177
352,easy_small_clinic,0.2446,20,1.655,0.031878
353,medium_busy_opd,0.2443,40,0.1829,0.035662
354,hard_mass_casualty,0.244,60,-10.1194,0.065185
355,easy_small_clinic,0.2437,20,1.03,0.028023
356,medium_busy_opd,0.2434,40,0.7112,0.018348
357,hard_mass_casualty,0.2431,60,-5.7781,0.099472
358,easy_small_clinic,0.2428,20,1.8825,0.012036
359,medium_busy_opd,0.2425,40,-1.8906,0.028069
360,hard_mass_casualty,0.2422,60,-4.3412,0.032892
361,easy_small_clinic,0.2419,20,0.44,0.022553
362,medium_busy_opd,0.2416,40,0.6649,0.012907
363,hard_mass_casualty,0.2413,60,-14.2745,0.112894
364,easy_small_clinic,0.241,20,1.545,0.019936
365,medium_busy_opd,0.2407,40,0.9167,0.030298
366,hard_mass_casualty,0.2404,60,-6.1211,0.036868
367,easy_small_clinic,0.2401,20,1.8375,0.022875
368,medium_busy_opd,0.2398,40,-1.4901,0.016278
369,hard_mass_casualty,0.2395,60,-12.6661,0.055121
370,easy_small_clinic,0.2392,20,1.8575,0.007424
371,medium_busy_opd,0.2389,40,2.4162,0.009528
372,hard_mass_casualty,0.2386,60,-3.1892,0.026857
373,easy_small_clinic,0.2383,20,2.185,0.021533
374,medium_busy_opd,0.238,40,-2.0601,0.023132
375,hard_mass_casualty,0.2377,60,-10.6091,0.141977
376,easy_small_clinic,0.2374,20,1.7,0.025547
377,medium_busy_opd,0.2371,40,-2.6051,0.050402
378,hard_mass_casualty,0.2368,60,-17.8444,0.168807
379,easy_small_clinic,0.2365,20,1.195,0.017313
380,medium_busy_opd,0.2362,40,0.5512,0.0141
381,hard_mass_casualty,0.2359,60,-6.7248,0.072184
382,easy_small_clinic,0.2356,20,1.05,0.012936
383,medium_busy_opd,0.2353,40,0.8449,0.005504
384,hard_mass_casualty,0.235,60,-6.9093,0.038529
385,easy_small_clinic,0.2347,20,0.33,0.029342
386,medium_busy_opd,0.2344,40,-4.0051,0.032145
387,hard_mass_casualty,0.2341,60,-6.6526,0.033457
388,easy_small_clinic,0.2338,20,2.1475,0.015131
389,medium_busy_opd,0.2335,40,-0.3534,0.01672
390,hard_mass_casualty,0.2332,60,-2.481,0.026415
391,easy_small_clinic,0.2329,20,1.8825,0.005902
392,medium_busy_opd,0.2326,40,0.0099,0.008691
393,hard_mass_casualty,0.2323,60,-8.9952,0.115929
394,easy_small_clinic,0.232,20,1.87,0.006291
395,medium_busy_opd,0.2317,40,-4.8615,0.121999
396,hard_mass_casualty,0.2314,60,-7.2457,0.05349
397,easy_small_clinic,0.2311,20,0.57,0.018633
398,medium_busy_opd,0.2308,40,-0.9656,0.01308
399,hard_mass_casualty,0.2305,60,-5.0063,0.083222
400,easy_small_clinic,0.2302,20,2.2695,0.027568
401,medium_busy_opd,0.2299,40,2.4899,0.008324
402,hard_mass_casualty,0.2296,60,-5.8273,0.042215
403,easy_small_clinic,0.2293,20,1.87,0.005934
404,medium_busy_opd,0.229,40,-1.0251,0.012562
405,hard_mass_casualty,0.2287,60,-4.9136,0.028731
406,easy_small_clinic,0.2284,20,1.9025,0.015168
407,medium_busy_opd,0.2281,40,-1.2451,0.010674
408,hard_mass_casualty,0.2278,60,-7.4136,0.030156
409,easy_small_clinic,0.2275,20,0.785,0.020617
410,medium_busy_opd,0.2272,40,-10.379,0.108654
411,hard_mass_casualty,0.2269,60,-8.9946,0.014722
412,easy_small_clinic,0.2266,20,1.2355,0.025343
413,medium_busy_opd,0.2263,40,2.6999,0.006305
414,hard_mass_casualty,0.226,60,-12.0484,0.140352
415,easy_small_clinic,0.2257,20,2.205,0.030625
416,medium_busy_opd,0.2254,40,-2.7421,0.063791
417,hard_mass_casualty,0.2251,60,-3.8057,0.016431
418,easy_small_clinic,0.2248,20,0.9775,0.013425
419,medium_busy_opd,0.2245,40,-0.3975,0.04304
420,hard_mass_casualty,0.2242,60,-18.3857,0.209013
421,easy_small_clinic,0.2239,20,0.13,0.012037
422,medium_busy_opd,0.2236,40,-7.6149,0.160359
423,hard_mass_casualty,0.2233,60,-6.5168,0.050328
424,easy_small_clinic,0.223,20,1.895,0.031383
425,medium_busy_opd,0.2227,40,-6.6923,0.100455
426,hard_mass_casualty,0.2224,60,-4.2026,0.017962
427,easy_small_clinic,0.2221,20,1.91,0.026624
428,medium_busy_opd,0.2218,40,2.6149,0.00514
429,hard_mass_casualty,0.2215,60,1.3235,0.011791
430,easy_small_clinic,0.2212,20,1.507,0.035319
431,medium_busy_opd,0.2209,40,-6.6607,0.07766
432,hard_mass_casualty,0.2206,60,-2.6907,0.040755
433,easy_small_clinic,0.2203,20,1.973,0.018685
434,medium_busy_opd,0.22,40,-10.8628,0.21697
435,hard_mass_casualty,0.2197,60,-8.988,0.044895
436,easy_small_clinic,0.2194,20,1.8825,0.004831
437,medium_busy_opd,0.2191,40,-2.634,0.037112
438,hard_mass_casualty,0.2188,60,-6.8013,0.017812
439,easy_small_clinic,0.2185,20,1.4925,0.019934
440,medium_busy_opd,0.2182,40,-2.4223,0.027145
441,hard_mass_casualty,0.2179,60,-8.3025,0.111697
442,easy_small_clinic,0.2176,20,1.5255,0.010516
443,medium_busy_opd,0.2173,40,1.0579,0.01703
444,hard_mass_casualty,0.217,60,-6.3219,0.028533
445,easy_small_clinic,0.2167,20,1.918,0.043805
446,medium_busy_opd,0.2164,40,-10.5247,0.142035
447,hard_mass_casualty,0.2161,60,-12.622,0.10579
448,easy_small_clinic,0.2158,20,1.5025,0.014838
449,medium_busy_opd,0.2155,40,-2.6651,0.021199
450,hard_mass_casualty,0.2152,60,-0.1992,0.023356
451,easy_small_clinic,0.2149,20,1.5425,0.039151
452,medium_busy_opd,0.2146,40,-3.5523,0.04065
453,hard_mass_casualty,0.2143,60,-6.9298,0.091246
454,easy_small_clinic,0.214,20,1.5655,0.018804
455,medium_busy_opd,0.2137,40,-0.9251,0.012702
456,hard_mass_casualty,0.2134,60,-4.1745,0.01557
457,easy_small_clinic,0.2131,20,2.1475,0.01472
458,medium_busy_opd,0.2128,40,-0.3504,0.092437
459,hard_mass_casualty,0.2125,60,-4.6736,0.028025
460,easy_small_clinic,0.2122,20,1.9395,0.016754
461,medium_busy_opd,0.2119,40,-1.3056,0.030603
462,hard_mass_casualty,0.2116,60,-6.2885,0.140234
463,easy_small_clinic,0.2113,20,1.1675,0.016906
464,medium_busy_opd,0.211,40,-0.6123,0.013806
465,hard_mass_casualty,0.2107,60,-20.311,0.233947
466,easy_small_clinic,0.2104,20,1.8825,0.022393
467,medium_busy_opd,0.2101,40,-4.2722,0.030329
468,hard_mass_casualty,0.2098,60,-8.1017,0.134901
469,easy_small_clinic,0.2095,20,1.8825,0.004436
470,medium_busy_opd,0.2092,40,0.134,0.016294
471,hard_mass_casualty,0.2089,60,-7.5077,0.062692
472,easy_small_clinic,0.2086,20,1.6125,0.012358
473,medium_busy_opd,0.2083,40,-2.5001,0.018051
474,hard_mass_casualty,0.208,60,-0.54,0.041499
475,easy_small_clinic,0.2077,20,1.5625,0.023659
476,medium_busy_opd,0.2074,40,-2.2451,0.00996
477,hard_mass_casualty,0.2071,60,-12.041,0.047228
478,easy_small_clinic,0.2068,20,1.8125,0.010476
479,medium_busy_opd,0.2065,40,-1.7027,0.099524
480,hard_mass_casualty,0.2062,60,-13.7211,0.087411
481,easy_small_clinic,0.2059,20,2.0525,0.017958
482,medium_busy_opd,0.2056,40,-2.3256,0.028795
